Análisis léxico de: algoritmo3_Joel_Guamani.rb
==================================================
Línea 2: DEF                  def
Línea 2: VARIABLE             sistema_reservas
Línea 3: VARIABLE             reservas
Línea 3: ASIGNACION           =
Línea 3: LLAVE_IZQ            {
Línea 3: LLAVE_DER            }
Línea 5: LOOP                 loop
Línea 5: DO                   do
Línea 6: PUTS                 puts
Línea 6: CADENA               "\n1. Nueva reserva | 2. Consultar reserva | 3. Salir"
Línea 7: VARIABLE             opcion
Línea 7: ASIGNACION           =
Línea 7: GETS                 gets
Línea 7: PUNTO                .
Línea 7: TO_I                 to_i
Línea 9: CASE                 case
Línea 9: VARIABLE             opcion
Línea 10: WHEN                 when
Línea 10: ENTERO               1
Línea 11: BEGIN                begin
Línea 12: PUTS                 puts
Línea 12: CADENA               "ID de reserva (ej: R100):"
Línea 13: VARIABLE             id
Línea 13: ASIGNACION           =
Línea 13: GETS                 gets
Línea 13: PUNTO                .
Línea 13: VARIABLE             strip
Línea 13: PUNTO                .
Línea 13: VARIABLE             upcase
Línea 14: VARIABLE             raise
Línea 14: CADENA               "ID debe empezar con 'R' seguido de números"
Línea 14: UNLESS               unless
Línea 14: VARIABLE             id
Línea 14: PUNTO                .
Línea 14: MATCH                match
Línea 14: PREGUNTA             ?
Línea 14: PARENTESIS_IZQ       (
Línea 14: REGEX                /^R\d+$/
Línea 14: PARENTESIS_DER       )
Línea 16: PUTS                 puts
Línea 16: CADENA               "Nombre del cliente:"
Línea 17: VARIABLE             nombre
Línea 17: ASIGNACION           =
Línea 17: GETS                 gets
Línea 17: PUNTO                .
Línea 17: VARIABLE             strip
Línea 18: VARIABLE             raise
Línea 18: CADENA               "Nombre no puede estar vacío"
Línea 18: IF                   if
Línea 18: VARIABLE             nombre
Línea 18: PUNTO                .
Línea 18: EMPTY                empty
Línea 18: PREGUNTA             ?
Línea 20: PUTS                 puts
Línea 20: CADENA               "Fecha de entrada (DD-MM-AAAA):"
Línea 21: VARIABLE             fecha_entrada
Línea 21: ASIGNACION           =
Línea 21: GETS                 gets
Línea 21: PUNTO                .
Línea 21: VARIABLE             strip
Línea 22: VARIABLE             raise
Línea 22: CADENA               "Formato de fecha incorrecto"
Línea 22: UNLESS               unless
Línea 22: VARIABLE             fecha_entrada
Línea 22: PUNTO                .
Línea 22: MATCH                match
Línea 22: PREGUNTA             ?
Línea 22: PARENTESIS_IZQ       (
