Análisis léxico de: algoritmo1_Paulette_Maldonado.rb
==================================================
Línea 2: DEF                  def
Línea 2: ID                   gestion_inventario
Línea 3: ID                   inventario
Línea 3: ASIGNACION           =
Línea 3: CORCHETE_IZQ         [
Línea 3: CORCHETE_DER         ]
Línea 5: LOOP                 loop
Línea 5: DO                   do
Línea 6: PUTS                 puts
Línea 6: CADENA               \n1. Agregar | 2. Buscar | 3. Eliminar | 4. Salir
Línea 7: ID                   opcion
Línea 7: ASIGNACION           =
Línea 7: GETS                 gets
Línea 7: PUNTO                .
Línea 7: TO_I                 to_i
Línea 9: CASE                 case
Línea 9: ID                   opcion
Línea 10: WHEN                 when
Línea 10: ENTERO               1
Línea 11: BEGIN                begin
Línea 12: PUTS                 puts
Línea 12: CADENA               Nombre del producto:
Línea 13: ID                   nombre
Línea 13: ASIGNACION           =
Línea 13: GETS                 gets
Línea 13: PUNTO                .
Línea 13: ID                   strip
Línea 14: ID                   raise
Línea 14: CADENA               Nombre no puede estar vacío
Línea 14: IF                   if
Línea 14: ID                   nombre
Línea 14: PUNTO                .
Línea 14: CONSULTA_VACIA       empty?
Línea 16: PUTS                 puts
Línea 16: CADENA               Precio (USD):
Línea 17: ID                   precio
Línea 17: ASIGNACION           =
Línea 17: ID                   Float
Línea 17: PARENTESIS_IZQ       (
Línea 17: GETS                 gets
Línea 17: PARENTESIS_DER       )
Línea 17: RESCUE               rescue
Línea 17: NIL                  nil
Línea 18: ID                   raise
Línea 18: CADENA               Precio debe ser un número
Línea 18: IF                   if
Línea 18: ID                   precio
Línea 18: PUNTO                .
Línea 18: METODO_PREGUNTA      nil?
Línea 20: PUTS                 puts
Línea 20: CADENA               Stock:
Línea 21: ID                   stock
Línea 21: ASIGNACION           =
Línea 21: ID                   Integer
Línea 21: PARENTESIS_IZQ       (
Línea 21: GETS                 gets
Línea 21: PARENTESIS_DER       )
Línea 21: RESCUE               rescue
Línea 21: NIL                  nil
Línea 22: ID                   raise
Línea 22: CADENA               Stock debe ser entero
Línea 22: IF                   if
Línea 22: ID                   stock
Línea 22: PUNTO                .
Línea 22: METODO_PREGUNTA      nil?
Línea 24: ID                   producto
Línea 24: ASIGNACION           =
Línea 24: LLAVE_IZQ            {
Línea 24: ID                   nombre
Línea 24: DOS_PUNTOS           :
Línea 24: ID                   nombre
Línea 24: COMA                 ,
Línea 24: ID                   precio
Línea 24: DOS_PUNTOS           :
Línea 24: ID                   precio
Línea 24: COMA                 ,
Línea 24: ID                   stock
