Análisis léxico de: algoritmo1_Paulette_Maldonado.rb
==================================================
Línea 2: DEF                  def
Línea 2: VARIABLE             gestion_inventario
Línea 3: VARIABLE             inventario
Línea 3: ASIGNACION           =
Línea 3: CORCHETE_IZQ         [
Línea 3: CORCHETE_DER         ]
Línea 5: LOOP                 loop
Línea 5: DO                   do
Línea 6: PUTS                 puts
Línea 6: CADENA               "\n1. Agregar | 2. Buscar | 3. Eliminar | 4. Salir"
Línea 7: VARIABLE             opcion
Línea 7: ASIGNACION           =
Línea 7: GETS                 gets
Línea 7: PUNTO                .
Línea 7: TO_I                 to_i
Línea 9: CASE                 case
Línea 9: VARIABLE             opcion
Línea 10: WHEN                 when
Línea 10: ENTERO               1
Línea 11: BEGIN                begin
Línea 12: PUTS                 puts
Línea 12: CADENA               "Nombre del producto:"
Línea 13: VARIABLE             nombre
Línea 13: ASIGNACION           =
Línea 13: GETS                 gets
Línea 13: PUNTO                .
Línea 13: VARIABLE             strip
Línea 14: VARIABLE             raise
Línea 14: CADENA               "Nombre no puede estar vacío"
Línea 14: IF                   if
Línea 14: VARIABLE             nombre
Línea 14: PUNTO                .
Línea 14: EMPTY                empty
Línea 14: PREGUNTA             ?
Línea 16: PUTS                 puts
Línea 16: CADENA               "Precio (USD):"
Línea 17: VARIABLE             precio
Línea 17: ASIGNACION           =
Línea 17: VARIABLE             Float
Línea 17: PARENTESIS_IZQ       (
Línea 17: GETS                 gets
Línea 17: PARENTESIS_DER       )
Línea 17: RESCUE               rescue
Línea 17: NIL                  nil
Línea 18: VARIABLE             raise
Línea 18: CADENA               "Precio debe ser un número"
Línea 18: IF                   if
Línea 18: VARIABLE             precio
Línea 18: PUNTO                .
Línea 18: NIL                  nil
Línea 18: PREGUNTA             ?
Línea 20: PUTS                 puts
Línea 20: CADENA               "Stock:"
Línea 21: VARIABLE             stock
Línea 21: ASIGNACION           =
Línea 21: VARIABLE             Integer
Línea 21: PARENTESIS_IZQ       (
Línea 21: GETS                 gets
Línea 21: PARENTESIS_DER       )
Línea 21: RESCUE               rescue
Línea 21: NIL                  nil
Línea 22: VARIABLE             raise
Línea 22: CADENA               "Stock debe ser entero"
Línea 22: IF                   if
Línea 22: VARIABLE             stock
Línea 22: PUNTO                .
Línea 22: NIL                  nil
Línea 22: PREGUNTA             ?
Línea 24: VARIABLE             producto
Línea 24: ASIGNACION           =
Línea 24: LLAVE_IZQ            {
Línea 24: VARIABLE             nombre
Línea 24: DOS_PUNTOS           :
Línea 24: VARIABLE             nombre
Línea 24: COMA                 ,
Línea 24: VARIABLE             precio
Línea 24: DOS_PUNTOS           :
Línea 24: VARIABLE             precio
Línea 24: COMA                 ,
Línea 24: VARIABLE             stock
Línea 24: DOS_PUNTOS           :
Línea 24: VARIABLE             stock
Línea 24: LLAVE_DER            }
Línea 25: VARIABLE             inventario
Línea 25: MENOR_QUE            <
Línea 25: MENOR_QUE            <
Línea 25: VARIABLE             producto
Línea 26: PUTS                 puts
Línea 26: CADENA               "Producto añadido: #{producto[:nombre]}"
Línea 27: RESCUE               rescue
Línea 27: ASIGNACION_HASH      =>
Línea 27: VARIABLE             e
Línea 28: PUTS                 puts
Línea 28: CADENA               "Error: #{e.message}"
Línea 29: END                  end
Línea 31: WHEN                 when
Línea 31: ENTERO               2
Línea 32: PUTS                 puts
Línea 32: CADENA               "Buscar por nombre:"
Línea 33: VARIABLE             busqueda
Línea 33: ASIGNACION           =
Línea 33: GETS                 gets
Línea 33: PUNTO                .
Línea 33: VARIABLE             strip
Línea 33: PUNTO                .
Línea 33: VARIABLE             downcase
Línea 34: VARIABLE             resultados
Línea 34: ASIGNACION           =
Línea 34: VARIABLE             inventario
Línea 34: PUNTO                .
Línea 34: VARIABLE             select
Línea 34: LLAVE_IZQ            {
Línea 34: BARRA                |
Línea 34: VARIABLE             p
Línea 34: BARRA                |
Línea 34: VARIABLE             p
Línea 34: CORCHETE_IZQ         [
Línea 34: SIMBOLO              :nombre
Línea 34: CORCHETE_DER         ]
Línea 34: PUNTO                .
Línea 34: VARIABLE             downcase
Línea 34: PUNTO                .
Línea 34: INCLUDE              include
Línea 34: PREGUNTA             ?
Línea 34: PARENTESIS_IZQ       (
Línea 34: VARIABLE             busqueda
Línea 34: PARENTESIS_DER       )
Línea 34: LLAVE_DER            }
Línea 36: IF                   if
Línea 36: VARIABLE             resultados
Línea 36: PUNTO                .
Línea 36: EMPTY                empty
Línea 36: PREGUNTA             ?
Línea 37: PUTS                 puts
Línea 37: CADENA               "No se encontraron productos."
Línea 38: ELSE                 else
Línea 39: VARIABLE             resultados
Línea 39: PUNTO                .
Línea 39: EACH                 each
Línea 39: LLAVE_IZQ            {
Línea 39: BARRA                |
Línea 39: VARIABLE             p
Línea 39: BARRA                |
Línea 39: PUTS                 puts
Línea 39: CADENA               "#{p[:nombre]} | $#{p[:precio]} | Stock: #{p[:stock]}"
Línea 39: LLAVE_DER            }
